,stage,shape,compute_gpu,A_size_byte,B_size_byte,C_size_byte,A_to_cpu,B_to_cpu,C_to_cpu,verify_cpu,mse_loss,cpu/gpu,A_bandwidth,B_bandwidth,C_bandwidth,total,A_perc,B_perc,C_perc,compute_perc,verify_perc
0,forward,"torch.Size([1, 128, 2048])-torch.Size([2048, 2048])",0.006310162949375808,1048576,16777216,1048576,0.00032517395447939634,0.0028522569919005036,0.0014310830738395452,0.0016881950432434678,0.0,0.26753588723258903,3.224661709695571,5.882084274888945,0.7327149759284817,0.012606872012838721,2.5793389045930044,22.624620833746796,11.351611029144609,50.05335933409649,13.391069898419097
1,forward,"torch.Size([1, 128, 2048])-torch.Size([2048, 512])",0.0030337850330397487,1048576,4194304,262144,0.00023021397646516562,0.0007376710418611765,9.16050048545003e-05,0.0005330569110810757,0.0,0.1757068827473814,4.554788619268141,5.6858731900571655,2.861677704360949,0.004626331967301667,4.976166390399329,15.945052086079054,1.9800785050003538,65.57646650698999,11.522236511531272
2,forward,"torch.Size([1, 128, 2048])-torch.Size([2048, 512])",8.088292088359594e-05,1048576,4194304,262144,0.00022158795036375523,0.0007354420376941562,7.48529564589262e-05,0.0004031489370390773,0.0,4.984351858648577,4.732098465998149,5.703106138929007,3.502119520741246,0.0015159148024395108,14.617440901504569,48.5147342390637,4.93780760887537,5.335584872806425,26.59443237774994
3,forward,"torch.Size([1, 128, 2048])-torch.Size([2048, 2048])",0.00025340402498841286,1048576,16777216,1048576,0.00033902504947036505,0.002852161996997893,0.0002061029663309455,0.0011461450485512614,0.0,4.522994647001641,3.0929160002722997,5.88228018522764,5.087631772927864,0.004796839086338878,7.06767609603351,59.4591968932351,4.296641238558844,5.282729322942956,23.893756449229592
4,forward,"torch.Size([1, 128, 2048])-torch.Size([2048, 8192])",0.0001291019143536687,1048576,67108864,4194304,0.0008915479993447661,0.011315557989291847,0.000726382015272975,0.0044990950264036655,3.848602294921875,34.849173607748405,1.1761296091412239,5.930672094430212,5.774239879030839,0.017561684944666922,5.076665491687395,64.43321369757359,4.136174960213943,0.7351339849248005,25.61881186560027
5,forward,"torch.Size([1, 128, 2048])-torch.Size([2048, 8192])",0.00011368398554623127,1048576,67108864,4194304,0.0008954560616984963,0.011311742011457682,0.0007290809880942106,0.0032925850246101618,3.734199047088623,28.962610773979097,1.170996595869893,5.932672786563319,5.752864316162938,0.01634254807140678,5.4792928115365465,69.21651361851528,4.461244261963188,0.6956319482708748,20.14731735971411
6,forward,"torch.Size([1, 128, 8192])-torch.Size([8192, 2048])",0.0001551950117573142,4194304,67108864,1048576,0.0014923219569027424,0.011299273930490017,0.00020262703765183687,0.002786334021948278,2.3096790313720703,17.953760178229185,2.8105892167566298,5.939219140347869,5.174906627227664,0.01593575195875019,9.364615869810404,70.90518200671214,1.2715247964221486,0.9738794388808111,17.48479788817449
7,forward,"torch.Size([1, 128, 2048])-torch.Size([2048, 2048])",0.00011118990369141102,1048576,16777216,1048576,0.00039034592919051647,0.0028521970380097628,0.00020136195234954357,0.0011411519953981042,0.0,10.263090060453516,2.6862736910680596,5.882207917762578,5.20741871920163,0.004696246818639338,8.311869973299506,60.73354208491411,4.287720814637357,2.367633303473315,24.299233823675703
8,forward,"torch.Size([1, 128, 2048])-torch.Size([2048, 512])",9.062397293746471e-05,1048576,4194304,262144,0.00022273301146924496,0.000738128088414669,7.934798486530781e-05,0.0004422580823302269,0.0,4.880144491517803,4.7077709455061525,5.682352515548365,3.3037259918444826,0.0015730911400169134,14.158938780041073,46.92214390113041,5.044080590553366,5.760885090007585,28.113951638267565
9,forward,"torch.Size([1, 128, 2048])-torch.Size([2048, 512])",7.196597289294004e-05,1048576,4194304,262144,0.00021913694217801094,0.0007330690277740359,7.6299998909235e-05,0.0003798389807343483,0.0,5.278035791990398,4.785026155691325,5.721567602898193,3.435701228670284,0.0014803109224885702,14.803440199550574,49.521287496930974,5.154322497395754,4.861544409329704,25.65940539679299
