,stage,shape,compute_gpu,A_size_byte,B_size_byte,C_size_byte,A_to_cpu,B_to_cpu,C_to_cpu,verify_cpu,mse_loss,cpu/gpu,A_bandwidth,B_bandwidth,C_bandwidth,total,A_perc,B_perc,C_perc,compute_perc,verify_perc
0,forward,"torch.Size([1, 128, 2048])-torch.Size([2048, 2048])",0.04871036403346807,524288,8388608,524288,0.0002799420617520809,0.0014454610645771027,0.00012752600014209747,0.0430519130313769,0.0,0.883834762593781,1.872844676211301,5.803413322969199,4.11122437319296,0.09361520619131625,0.29903481831784756,1.5440451646531583,0.1362235958562967,52.03253404572049,45.988162375452205
1,forward,"torch.Size([1, 128, 2048])-torch.Size([2048, 512])",0.0026787270326167345,524288,2097152,131072,0.00015287299174815416,0.0003751460462808609,7.552094757556915e-05,0.013496447005309165,0.0,5.038380858136582,3.429565903071498,5.590228181239909,1.735571443523591,0.016778714023530483,0.9111126844033753,2.235845046019354,0.4500997363067188,15.965031818648828,80.43791071462174
2,forward,"torch.Size([1, 128, 2048])-torch.Size([2048, 512])",9.619700722396374e-05,524288,2097152,131072,0.00014470901805907488,0.00037691707257181406,5.027896258980036e-05,0.01325977104716003,0.0,137.83974605664108,3.623049945553281,5.563961286472185,2.606895473746099,0.013927873107604682,1.0389886305042735,2.706206968284451,0.36099526612105487,0.6906798078985924,95.20312932719163
3,forward,"torch.Size([1, 128, 2048])-torch.Size([2048, 2048])",0.00030041905120015144,524288,8388608,524288,0.00014486699365079403,0.0014381369110196829,0.00011791603174060583,0.04200142191257328,0.0,139.80944865107844,3.6190990562267826,5.832968986278379,4.446282598394592,0.04400276090018451,0.3292225094225544,3.2682879019385638,0.26797416645761285,0.6827277312930874,95.45178769088818
4,forward,"torch.Size([1, 128, 2048])-torch.Size([2048, 8192])",0.00011980498675256968,524288,33554432,2097152,0.00025810895022004843,0.005673944018781185,0.0003705619601532817,0.16055159294046462,3.986328125,1340.1077642289458,2.0312662523055596,5.913775653924727,5.6593828441875695,0.1669740128563717,0.154580312112442,3.3981000526482035,0.2219279238812048,0.07175067826609878,96.15364103309206
5,forward,"torch.Size([1, 128, 2048])-torch.Size([2048, 8192])",8.428795263171196e-05,524288,33554432,2097152,0.0002625420456752181,0.0056657129898667336,0.00037223496474325657,0.15712906094267964,3.986328125,1864.1935891982077,1.9969677567324928,5.922367063070954,5.633946830992835,0.16351383889559656,0.16056258445675106,3.4649746028434243,0.2276473766730706,0.051547901511583824,96.09526753451517
6,forward,"torch.Size([1, 128, 8192])-torch.Size([8192, 2048])",0.0001693230587989092,2097152,33554432,524288,0.0005148809868842363,0.0056699010310694575,0.00011987693142145872,0.15721073898021132,2.150390625,928.4662118401567,4.073081068094509,5.917992539222674,4.373552056956884,0.16368472098838538,0.31455653513364323,3.4639158724361194,0.07323648212099458,0.10344463293609663,96.04484647737314
7,forward,"torch.Size([1, 128, 2048])-torch.Size([2048, 2048])",9.764998685568571e-05,524288,8388608,524288,0.0001451499992981553,0.0014388150302693248,0.00011736003216356039,0.04203043400775641,0.0,430.4192490048366,3.6120427318986774,5.8302198847823945,4.467347105608483,0.04382940905634314,0.33117033157249176,3.2827616462264273,0.2677654905469816,0.22279558168387734,95.89550694997023
8,forward,"torch.Size([1, 128, 2048])-torch.Size([2048, 512])",8.66129994392395e-05,524288,2097152,131072,0.0001428769901394844,0.0003717199433594942,5.1814946345984936e-05,0.013244644040241838,0.0,152.91750806451614,3.669506191921884,5.64175271589295,2.5296175957568385,0.01389766891952604,1.0280644255292637,2.674692752517889,0.37283192343994914,0.6232196200727547,95.30119127844014
9,forward,"torch.Size([1, 128, 2048])-torch.Size([2048, 512])",8.611998055130243e-05,524288,2097152,131072,0.00013938802294433117,0.0003791430499404669,5.0585949793457985e-05,0.013229631003923714,0.0,153.61860185329124,3.7613561690977586,5.531294851189532,2.591075200429485,0.013884868007153273,1.0038843932295256,2.7306204837175128,0.36432431167078344,0.6202434226017469,95.28092738878044
10,forward,"torch.Size([1, 128, 2048])-torch.Size([2048, 2048])",7.015198934823275e-05,524288,8388608,524288,0.00013865495566278696,0.0014318008907139301,0.00011583790183067322,0.041986376978456974,0.0,598.505863747322,3.781242419312327,5.85878110176146,4.526048829565139,0.0437428227160126,0.316977613820131,3.2732247299390713,0.26481579065602767,0.1603737138859874,95.98460815169878
11,forward,"torch.Size([1, 128, 2048])-torch.Size([2048, 8192])",6.482703611254692e-05,524288,33554432,2097152,0.00026383099611848593,0.005685374955646694,0.0003703359980136156,0.15724709897767752,3.986328125,2425.640726574004,1.9872115396348022,5.901885497749601,5.662835941546511,0.16363146796356887,0.16123487700863604,3.4744997563136772,0.22632321436856373,0.03961770735136356,96.09832444495777
12,forward,"torch.Size([1, 128, 2048])-torch.Size([2048, 8192])",8.948205504566431e-05,524288,33554432,2097152,0.00026561401318758726,0.005670311977155507,0.00037041702307760715,0.15720146498642862,3.986328125,1756.793190614653,1.9738717611624157,5.917563642914842,5.661597252134439,0.16359729005489498,0.16235844316153442,3.4660182789414398,0.22642002379948586,0.05469653868694197,96.0905067154106
13,forward,"torch.Size([1, 128, 8192])-torch.Size([8192, 2048])",9.659701026976109e-05,2097152,33554432,524288,0.0005233340198174119,0.005666300072334707,0.00012018100824207067,0.15710211999248713,2.150390625,1626.3662773180743,4.007291558709834,5.921753449632335,4.3624862835563,0.16350853210315108,0.3200652669839034,3.465446114310452,0.073501368213772,0.05907765731076457,96.08190959318111
14,forward,"torch.Size([1, 128, 2048])-torch.Size([2048, 2048])",9.558605961501598e-05,524288,8388608,524288,0.00014195789117366076,0.0014375100145116448,0.00011409306898713112,0.04203081806190312,0.0,439.71702810208046,3.693264218461973,5.835512737523295,4.595265993406978,0.04381996509619057,0.3239571069078776,3.280491007594647,0.26036777696349567,0.21813358227281113,95.91705052626118
15,forward,"torch.Size([1, 128, 2048])-torch.Size([2048, 512])",7.95640517026186e-05,524288,2097152,131072,0.00014074693899601698,0.00037247606087476015,6.0354010201990604e-05,0.013224977068603039,0.0,166.2179940010242,3.725040158882865,5.6303000925075235,2.1717198171477423,0.013878118130378425,1.0141644398308571,2.683908995265222,0.434886125301665,0.573305767793238,95.29373467180902
16,forward,"torch.Size([1, 128, 2048])-torch.Size([2048, 512])",6.576103623956442e-05,524288,2097152,131072,0.00013675203081220388,0.0003783650463446975,4.844297654926777e-05,0.013268255046568811,0.0,201.76468932504608,3.8338589700359464,5.542668436897462,2.7056966631003023,0.013897576136514544,0.9839991482608329,2.7225254434878017,0.34857140607410314,0.4731834932480321,95.47172050892922
17,forward,"torch.Size([1, 128, 2048])-torch.Size([2048, 2048])",7.068098057061434e-05,524288,8388608,524288,0.0001559410011395812,0.0014316069427877665,0.00011309003457427025,0.04197261400986463,0.0,593.8318012995248,3.362092048714726,5.859574824123774,4.63602298799972,0.04374393296893686,0.3564860097292051,3.272698282078041,0.2585273588787203,0.16157893397652615,95.95070941533751
18,forward,"torch.Size([1, 128, 2048])-torch.Size([2048, 8192])",6.752903573215008e-05,524288,33554432,2097152,0.0002652860712260008,0.005671962979249656,0.0003704309929162264,0.1570608209585771,3.986328125,2325.8265019738997,1.9763118266143418,5.915841151071637,5.661383739762495,0.16343603003770113,0.16231798530887287,3.4704483325624453,0.2266519768197845,0.041318328471740655,96.09926337683716
