,stage,shape,compute_gpu,A_size_byte,B_size_byte,C_size_byte,A_to_cpu,B_to_cpu,C_to_cpu,verify_cpu,mse_loss,cpu/gpu,A_bandwidth,B_bandwidth,C_bandwidth,total,A_perc,B_perc,C_perc,compute_perc,verify_perc
0,forward,"torch.Size([10, 1024])-torch.Size([1024, 1024])",0.025215590954758227,40960,4194304,40960,0.00016361800953745842,0.0007214980432763696,5.209201481193304e-05,0.0010986699489876628,0.0,0.04357105692898075,0.2503391901404514,5.813326923179711,0.7863009359088379,0.02725146897137165,0.6004006965985695,2.647556519005714,0.19115305258097096,92.52929073749321,4.031598994321528
1,forward,"torch.Size([10, 1024])-torch.Size([1024, 1024])",7.833901327103376e-05,40960,4194304,40960,6.17089681327343e-05,0.0007224340224638581,3.220699727535248e-05,0.00041356298606842756,0.0,5.279144691771916,0.6637608963399966,5.805795227770896,1.2717733245919842,0.0013082519872114062,4.716902304445915,55.221320473875714,2.461834385897096,5.98806759223937,31.61187524354191
2,backward_grad,"torch.Size([10, 1024])-torch.Size([1024, 1024])",0.011409730068407953,40960,4194304,40960,9.187101386487484e-05,0.0007262110011652112,3.8684927858412266e-05,0.0009953880216926336,0.0,0.08724027787902999,0.4458424727982706,5.775599644277223,1.0588102981583565,0.013261885032989085,0.6927447616710949,5.475925928770709,0.29170006950130456,86.03399923936999,7.505630000686893
3,backward_weight,"torch.Size([1024, 10])-torch.Size([10, 1024])",0.0001398449530825019,40960,40960,4194304,7.43200071156025e-05,4.2587053030729294e-05,0.0007345679914578795,0.0007582419784739614,1004.8438720703125,5.422018898505651,0.5511301948113106,0.961794655536384,5.709892139018561,0.0017495619831606746,4.247920784226206,2.434155145152021,41.98582265321314,7.993140822016762,43.338960595391875
4,backward_grad,"torch.Size([10, 1024])-torch.Size([1024, 1024])",4.937103949487209e-05,40960,4194304,40960,5.499494727700949e-05,0.0007459389744326472,3.3958000130951405e-05,0.0002587550552561879,0.0,5.24102911147057,0.7447956953878785,5.622851391013776,1.2061958843879779,0.0011430180165916681,4.811380615066533,65.26047390372207,2.9709068131935283,4.319357943463582,22.637880724554282
5,backward_weight,"torch.Size([1024, 10])-torch.Size([10, 1024])",0.00013655296061187983,40960,40960,4194304,8.566200267523527e-05,4.314596299082041e-05,0.0007379679009318352,0.0004909159615635872,1004.8438720703125,3.5950590845035,0.47815832832310684,0.9493356309769819,5.683585959096371,0.0014942447887733579,5.732795812228073,2.887476223105279,49.38734981553064,9.138593732287845,32.853784416848164
6,forward,"torch.Size([10, 1024])-torch.Size([1024, 1024])",0.00011385791003704071,40960,4194304,40960,7.239601109176874e-05,0.0007255750242620707,4.167109727859497e-05,0.0005887900479137897,0.0,5.171270469677884,0.5657770280751981,5.7806620401049775,0.9829354798641158,0.0015422900905832648,4.694059278069402,47.045301574081435,2.7018974921141945,7.382392633669961,38.17634902206501
7,forward,"torch.Size([10, 1024])-torch.Size([1024, 1024])",9.630399290472269e-05,40960,4194304,40960,6.457604467868805e-05,0.0007205919828265905,3.55610391125083e-05,0.0004386689979583025,0.0,4.555044756994603,0.6342909387498918,5.820636504374423,1.1518223601512438,0.001355702057480812,4.763291780989425,53.15268047653527,2.6230718553742114,7.103625193552952,32.35733069354814
8,backward_grad,"torch.Size([10, 1024])-torch.Size([1024, 1024])",7.76450615376234e-05,40960,4194304,40960,5.584396421909332e-05,0.0007212810451164842,3.7192017771303654e-05,0.00032905000261962414,0.0,4.237874194486675,0.7334722842973883,5.815075868689487,1.1013115838959298,0.0012210120912641287,4.573579952126222,59.07239168858133,3.0459991377151967,6.359073926715706,26.94895529486155
9,backward_weight,"torch.Size([1024, 10])-torch.Size([10, 1024])",0.00010467600077390671,40960,40960,4194304,7.822003681212664e-05,6.249698344618082e-05,0.0007520000217482448,0.0007123840041458607,1004.8438720703125,6.805609680145914,0.5236509936498761,0.6553916323861076,5.577531753588397,0.0017097770469263196,4.574867638604896,3.6552709348000763,43.98234396116859,6.122201778418048,41.665315687008395
